AAPL,Apple Inc. Common Stock,3.02E+12
MSFT,Microsoft Corporation Common Stock,2.17E+12
GOOG,Alphabet Inc. Class C Capital Stock,1.59E+12
GOOGL,Alphabet Inc. Class A Common Stock,1.58E+12
AMZN,Amazon.com Inc. Common Stock,1.45E+12
TSLA,Tesla Inc. Common Stock,9.42E+11
UNH,UnitedHealth Group Incorporated Common Stock (DE),5.12E+11
META,Meta Platforms Inc. Class A Common Stock,4.73E+11
NVDA,NVIDIA Corporation Common Stock,4.69E+11
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,4.63E+11
V,Visa Inc.,4.56E+11
JNJ,Johnson & Johnson Common Stock,4.39E+11
XOM,Exxon Mobil Corporation Common Stock,3.98E+11
WMT,Walmart Inc. Common Stock,3.81E+11
TCEHY,Tencent Holdings Ltd. Unsponsored ADRs,3.68E+11
LVMUY,LVMH Moet Hennessy Louis Vuitton SE Unsponsored ADRs,3.60E+11
LVMHF,LVMH Moët Hennessy Louis Vuitton Sponsored ADRs,3.59E+11
PG,Procter & Gamble Company (The) Common Stock,3.59E+11
JPM,JP Morgan Chase & Co. Common Stock,3.57E+11
MA,Mastercard Incorporated Common Stock,3.48E+11
NSRGY,Nestle S.A. Sponsored ADRs,3.37E+11
HD,Home Depot Inc. (The) Common Stock,3.34E+11
BAC,Bank of America Corporation Common Stock,3.13E+11
CVX,Chevron Corporation Common Stock,3.12E+11
LLY,Eli Lilly and Company Common Stock,3.01E+11
KO,Coca-Cola Company (The) Common Stock,2.83E+11
PFE,Pfizer Inc. Common Stock,2.73E+11
ABBV,AbbVie Inc. Common Stock,2.50E+11
PEP,PepsiCo Inc. Common Stock,2.49E+11
COST,Costco Wholesale Corporation Common Stock,2.48E+11
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,2.43E+11
RHHBY,Roche Holding Ltd Sponsored ADRs,2.38E+11
TMO,Thermo Fisher Scientific Inc Common Stock,2.33E+11
NVO,Novo Nordisk A/S Common Stock,2.33E+11
MRK,Merck & Company Inc. Common Stock (new),2.31E+11
AVGO,Broadcom Inc. Common Stock,2.26E+11
DIS,Walt Disney Company (The) Common Stock,2.23E+11
ASML,ASML Holding N.V. New York Registry Shares,2.23E+11
TM,Toyota Motor Corporation Common Stock,2.18E+11
DHR,Danaher Corporation Common Stock,2.14E+11
ORCL,Oracle Corporation Common Stock,2.11E+11
AZN,AstraZeneca PLC American Depositary Shares,2.06E+11
ADBE,Adobe Inc. Common Stock,2.05E+11
CSCO,Cisco Systems Inc. Common Stock (DE),2.04E+11
ACN,Accenture plc Class A Ordinary Shares (Ireland),2.02E+11
LRLCY,L Oreal SA Unsp/Adrs,1.98E+11
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,1.97E+11
MCD,McDonald's Corporation Common Stock,1.97E+11
ABT,Abbott Laboratories Common Stock,1.93E+11
CRM,Salesforce Inc. Common Stock,1.87E+11
VZ,Verizon Communications Inc. Common Stock,1.86E+11
NVS,Novartis AG Common Stock,1.85E+11
TMUS,T-Mobile US Inc. Common Stock,1.84E+11
NKE,Nike Inc. Common Stock,1.82E+11
UPS,United Parcel Service Inc. Common Stock,1.82E+11
NEE,NextEra Energy Inc. Common Stock,1.77E+11
WFC,Wells Fargo & Company Common Stock,1.75E+11
CMCSA,Comcast Corporation Class A Common Stock,1.73E+11
QCOM,QUALCOMM Incorporated Common Stock,1.70E+11
TXN,Texas Instruments Incorporated Common Stock,1.65E+11
AMD,Advanced Micro Devices Inc. Common Stock,1.63E+11
MS,Morgan Stanley Common Stock,1.58E+11
BMY,Bristol-Myers Squibb Company Common Stock,1.58E+11
LIN,Linde plc Ordinary Share,1.56E+11
PM,Philip Morris International Inc Common Stock,1.56E+11
UNP,Union Pacific Corporation Common Stock,1.51E+11
CICHY,China Construction Bank Corporation Unsponsored ADRs Class H,1.51E+11
HESAY,Hermes Intl Sa Unsp/Adrs,1.50E+11
INTC,Intel Corporation Common Stock,1.48E+11
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),1.45E+11
SCHW,Charles Schwab Corporation (The) Common Stock,1.44E+11
RTX,Raytheon Technologies Corporation Common Stock,1.41E+11
RY,Royal Bank Of Canada Common Stock,1.41E+11
TTE,TotalEnergies SE,1.39E+11
HON,Honeywell International Inc. Common Stock,1.39E+11
LOW,Lowe's Companies Inc. Common Stock,1.38E+11
CVS,CVS Health Corporation Common Stock,1.36E+11
COP,ConocoPhillips Common Stock,1.36E+11
INTU,Intuit Inc. Common Stock,1.35E+11
PROSY,Prosus Nv Sponsored ADRs,1.34E+11
AMGN,Amgen Inc. Common Stock,1.33E+11
SPGI,S&P Global Inc. Common Stock,1.32E+11
T,AT&T Inc.,1.31E+11
HSBC,HSBC Holdings plc. Common Stock,1.30E+11
AMT,American Tower Corporation (REIT) Common Stock,1.28E+11
MPNGY,Meituan Unsp/Adrs,1.28E+11
MDT,Medtronic plc. Ordinary Shares,1.27E+11
IBM,International Business Machines Corporation Common Stock,1.25E+11
AXP,American Express Company Common Stock,1.24E+11
TD,Toronto Dominion Bank (The) Common Stock,1.23E+11
EQNR,Equinor ASA,1.23E+11
GS,Goldman Sachs Group Inc. (The) Common Stock,1.22E+11
CMWAY,Commonwealth Bank of Australia Sponsored ADRs,1.21E+11
UL,Unilever PLC Common Stock,1.21E+11
HDB,HDFC Bank Limited Common Stock,1.20E+11
AAGIY,AIA Group Limited Sponsored ADRs,1.18E+11
ELV,Elevance Health Inc. Common Stock,1.18E+11
LMT,Lockheed Martin Corporation Common Stock,1.16E+11
PYPL,PayPal Holdings Inc. Common Stock,1.16E+11
BLK,BlackRock Inc. Common Stock,1.13E+11
DE,Deere & Company Common Stock,1.12E+11
SAP,SAP  SE ADS,1.09E+11
NFLX,Netflix Inc. Common Stock,1.09E+11
ADP,Automatic Data Processing Inc. Common Stock,1.09E+11
DEO,Diageo plc Common Stock,1.08E+11
SONY,Sony Group Corporation American Depositary Shares ,1.07E+11
CAT,Caterpillar Inc. Common Stock,1.05E+11
C,Citigroup Inc. Common Stock,1.04E+11
SNY,Sanofi ADS,1.03E+11
SBUX,Starbucks Corporation Common Stock,1.02E+11
BP,BP p.l.c. Common Stock,1.01E+11
PLD,Prologis Inc. Common Stock,1.01E+11
NTTYY,Nippon Telegraph and Telephone Corporation Sponsored ADRs,1.01E+11
EL,Estee Lauder Companies Inc. (The) Common Stock,1.01E+11
BA,Boeing Company (The) Common Stock,99803048669
CSLLY,Csl Ltd Sponsored ADRs,99665026435
NOW,ServiceNow Inc. Common Stock,98145158227
RIO,Rio Tinto Plc Common Stock,98024905107
SIEGY,Siemens AG Sponsored ADRs,96985000000
DTEGY,Deutsche Telekom AG Sponsored ADRs,95041900840
AMAT,Applied Materials Inc. Common Stock,94189191681
CHTR,Charter Communications Inc. Class A Common Stock New,93858166008
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,92801933073
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,92679049952
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),92574781133
CI,Cigna Corporation Common Stock,92291674452
AKABY,ALK-abello A/S Sponsored ADRs,91155240000
MDLZ,Mondelez International Inc. Class A Common Stock,90716194078
ADI,Analog Devices Inc. Common Stock,88434599544
ENB,Enbridge Inc Common Stock,87803153942
CNI,Canadian National Railway Company Common Stock,87531434161
EADSY,Airbus SE Unsponsored ADRs,87230914505
GE,General Electric Company Common Stock,87183672907
BKNG,Booking Holdings Inc. Common Stock,87125915841
DUK,Duke Energy Corporation (Holding Company) Common Stock,86675396264
MMC,Marsh & McLennan Companies Inc. Common Stock,86384947469
JD,JD.com Inc. American Depositary Shares,86192849713
BAM,Brookfield Asset Management Inc. Common Stock,86122996494
CB,Chubb Limited  Common Stock,85763418199
SO,Southern Company (The) Common Stock,84704467091
INFY,Infosys Limited American Depositary Shares,84026185758
SYK,Stryker Corporation Common Stock,83511547027
MMM,3M Company Common Stock,83469551971
MO,Altria Group Inc.,82579517130
ISRG,Intuitive Surgical Inc. Common Stock,82412825360
GILD,Gilead Sciences Inc. Common Stock,81756150541
IDEXY,Industria de Diseno Textil Inditex SA Unsp/Adrs,81282284160
TGT,Target Corporation Common Stock,80242664270
ZTS,Zoetis Inc. Class A Common Stock,80086878221
TJX,TJX Companies Inc. (The) Common Stock,79682959803
BX,Blackstone Inc. Common Stock,79666442531
PTR,PetroChina Company Limited Common Stock,79046760312
SBGSY,Schneider Elec Unsp/Adrs,78878974263
CCI,Crown Castle Inc. Common Stock,78400385483
IBN,ICICI Bank Limited Common Stock,77595324146
NOC,Northrop Grumman Corporation Common Stock,76615535927
SFTBY,Softbank Grp Unsp/Adrs,76292391164
CP,Canadian Pacific Railway Limited Common Stock,76268219303
ESLOY,Essilor Lxttca Unsp/Adrs,75550751541
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,75463995025
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,75266421763
BDX,Becton Dickinson and Company Common Stock,75174393314
PGR,Progressive Corporation (The) Common Stock,74990029000
CME,CME Group Inc. Class A Common Stock,74730872122
ALIZY,Allianz Se Unsp/Adrs,74216795524
GLNCY,Glencore Plc Unsp/Adrs,73634544395
CSX,CSX Corporation Common Stock,73551633022
AIQUY,L Air Liquide Sa Unsp/Adrs,73412686340
USB,U.S. Bancorp Common Stock,72816124359
WM,Waste Management Inc. Common Stock,72657077305
ABNB,Airbnb Inc. Class A Common Stock,72325307579
KDDIY,Kddi Corp Unsp/Adrs,72236028893
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,71830541764
PPRUY,Kering Sa Unsp/Adrs,71495501216
FISV,Fiserv Inc. Common Stock,71458863886
PNC,PNC Financial Services Group Inc. (The) Common Stock,71308500000
BMO,Bank Of Montreal Common Stock,70734111952
IBDRY,Iberdrola SA Sponsored ADRs,70364759640
LRCX,Lam Research Corporation Common Stock,69794465835
EOG,EOG Resources Inc. Common Stock,69694046152
D,Dominion Energy Inc. Common Stock,69485305820
MU,Micron Technology Inc. Common Stock,69476078902
